adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,/5h2EsPKNDdB3MAtOk9MB9Ycg9Rz.jpg,"{'id': 1084247, 'name': 'Zootopia Collection', 'poster_path': '/9Cm0kU0TAcJ6MoWYKWOl2LzN70I.jpg', 'backdrop_path': '/1WDssJDYInLA4Avg45lgy3WM6Ly.jpg'}",150000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 9648, 'name': 'Mystery'}]",https://movies.disney.com/zootopia-2,1084242,tt26443597,['US'],en,Zootopia 2,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",376.1868,/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg,"[{'id': 6125, 'logo_path': '/tzsMJBJZINu7GHzrpYzpReWhh66.png', 'name': 'Walt Disney Animation Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2025-11-26,1744338246,108,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,They're back with a twissst.,Zootopia 2,False,7.608,1292
False,/3F2EXWF1thX0BdrVaKvnm6mAhqh.jpg,,100000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",https://www.netflix.com/title/81915745,1306368,tt32642706,['US'],en,The Rip,"Trust frays when a team of Miami cops discovers millions in cash inside a run-down stash house, calling everyone — and everything — into question.",300.7556,/p4bW2sJKAwcHuLpfoZK7Zo63osA.jpg,"[{'id': 187968, 'logo_path': '/xdVAEg1biNrQw5nnMXKswPCRpkq.png', 'name': 'Artists Equity', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2026-01-13,0,113,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,Count the money. Count it again. Count on no one.,The Rip,False,7.053,862
False,/AecGG1XVCmkk7fT10ko3FC0dLIP.jpg,,0,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 53, 'name': 'Thriller'}]",https://www.dustbunnyfilm.com/,1043197,tt23172090,['US'],en,Dust Bunny,"Ten-year-old Aurora asks her hitman neighbor to kill the monster under her bed that she claims ate her family. To protect her, he must battle an onslaught of assassins while accepting that some monsters are real.",239.2488,/vobigFZFvbYPf6ElYJu07P9rH8C.jpg,"[{'id': 8147, 'logo_path': '/q6HOAdSNgCbeOqwoMVRc6REgbXF.png', 'name': 'Entertainment One', 'origin_country': 'CA'}, {'id': 3528, 'logo_path': '/cCzCClIzIh81Fa79hpW5nXoUsHK.png', 'name': 'Thunder Road', 'origin_country': 'US'}, {'id': 119153, 'logo_path': '/4QVWLiNT8svS71FU2qsRErGeIar.png', 'name': 'Hero Squared', 'origin_country': 'HU'}, {'id': 103359, 'logo_path': None, 'name': 'Living Dead Guy Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'HU', 'name': 'Hungary'}]",2025-12-11,928164,106,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Sometimes there really are monsters under your bed.,Dust Bunny,False,6.56,129
False,/xGbNoh7aWmU81oYuxJoFI07Rz5I.jpg,,0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",,1326878,tt32001482,['US'],en,Strangers,"Seeking revenge on her abusive husband, a woman's life takes a dark turn when she meets a mysterious hitman. Drawn into a whirlwind romance, she spirals into a dangerous vigilante spree. As the body count rises, she begins to unravel the true nature of her partner and the secrets they both conceal.",258.9958,/ohpuwSBMgP44OPduPkpOtLxh90w.jpg,"[{'id': 44311, 'logo_path': None, 'name': 'Steven Paul Production', 'origin_country': 'US'}, {'id': 177095, 'logo_path': '/nfwWCvMNaK687bjyM7un8p7ilz0.png', 'name': 'SP Media Group', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2024-08-16,0,106,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Strangers,False,5.5,24
False,/4BtL2vvEufDXDP4u6xQjjQ1Y2aT.jpg,,0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,1419406,tt34610311,"['CN', 'HK']",zh,捕风追影,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,363.8111,/e0RU6KpdnrqFxDKlI3NOqN8nHL6.jpg,"[{'id': 122699, 'logo_path': '/rNuZaO3S54yNb2inykTHBg8meCe.png', 'name': 'iQIYI Pictures', 'origin_country': 'CN'}, {'id': 197030, 'logo_path': '/z9xtT1e3HunOnZUm3uGYb59eL7v.png', 'name': 'Tao Piao Piao', 'origin_country': 'CN'}, {'id': 25657, 'logo_path': '/nR1OM1kwQ1ZrtbUb6sSfV0Ldynk.png', 'name': 'Hairun Pictures Company', 'origin_country': 'CN'}, {'id': 250765, 'logo_path': '/pl14N2WxiYBDNUrPaFBhzyKoO8Z.png', 'name': 'Dong Fang Chen Xiang', 'origin_country': 'CN'}]","[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",2025-08-16,174400000,142,"[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}]",Released,,The Shadow's Edge,False,7.213,350
False,/ebyxeBh56QNXxSJgTnmz7fXAlwk.jpg,"{'id': 399, 'name': 'Predator Collection', 'poster_path': '/mm2t5dd1QFxtX6X56Z9U5ucsIb1.jpg', 'backdrop_path': '/u1CTqTYRUVyLwlEd1z1VJrVBp0J.jpg'}",105000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",https://www.20thcenturystudios.com/movies/predator-badlands,1242898,tt31227572,['US'],en,Predator: Badlands,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.",233.7913,/pHpq9yNUIo6aDoCXEBzjSolywgz.jpg,"[{'id': 127928, 'logo_path': '/h0rjX5vjW5r8yEnUBStFarjcLT4.png', 'name': '20th Century Studios', 'origin_country': 'US'}, {'id': 840, 'logo_path': None, 'name': 'Lawrence Gordon Productions', 'origin_country': 'US'}, {'id': 1302, 'logo_path': '/zC3b70ixHh89qJIikLQPEvLqbPM.png', 'name': 'Davis Entertainment', 'origin_country': 'US'}, {'id': 185309, 'logo_path': None, 'name': 'Toberoff Productions', 'origin_country': 'US'}, {'id': 22213, 'logo_path': '/qx9K6bFWJupwde0xQDwOvXkOaL8.png', 'name': 'TSG Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2025-11-05,184561056,107,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,First hunt. Last chance.,Predator: Badlands,False,7.753,1702
False,/3Dqievkc7krcTtDE2hjRkIsEzB1.jpg,"{'id': 87096, 'name': 'Avatar Collection', 'poster_path': '/3C5brXxnBxfkeKWwA1Fh4xvy4wr.jpg', 'backdrop_path': '/6qkJLRCZp9Y3ovXti5tSuhH0DpO.jpg'}",350000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",https://www.avatar.com/movies/avatar-fire-and-ash,83533,tt1757678,['US'],en,Avatar: Fire and Ash,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",222.7451,/5bxrxnRaxZooBAxgUVBZ13dpzC7.jpg,"[{'id': 127928, 'logo_path': '/h0rjX5vjW5r8yEnUBStFarjcLT4.png', 'name': '20th Century Studios', 'origin_country': 'US'}, {'id': 574, 'logo_path': '/8wdmrfGcDx3TJxYiiDksLzAW4pB.png', 'name': 'Lightstorm Entertainment', 'origin_country': 'US'}, {'id': 22213, 'logo_path': '/qx9K6bFWJupwde0xQDwOvXkOaL8.png', 'name': 'TSG Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2025-12-17,1378692505,198,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The world of Pandora will change forever.,Avatar: Fire and Ash,False,7.302,1639
False,/gbjK8p5S1aLXWCwOoXqr9aWZvqG.jpg,"{'id': 275402, 'name': 'SpongeBob Collection', 'poster_path': '/caA0tTR0ye1DEnCAUIolrWajmfO.jpg', 'backdrop_path': '/82aBKm6QfMzNYl7jk9VG4mMPOYu.jpg'}",64000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",https://kids.spongebobmovie.com,991494,tt23572848,['US'],en,The SpongeBob Movie: Search for SquarePants,"Desperate to be a big guy, SpongeBob sets out to prove his bravery to Mr. Krabs by following The Flying Dutchman – a mysterious swashbuckling ghost pirate – on a seafaring adventure that takes him to the deepest depths of the deep sea, where no Sponge has gone before.",167.3536,/pDWYW9v8fmJdA7N0I1MOdQA3ETq.jpg,"[{'id': 24955, 'logo_path': '/bX3cYCRWdddXTgIcDEfNiVa8U4j.png', 'name': 'Paramount Animation', 'origin_country': 'US'}, {'id': 2348, 'logo_path': '/oydqrfwRAm6qqdYbxuMmmPsVi87.png', 'name': 'Nickelodeon Movies', 'origin_country': 'US'}, {'id': 216687, 'logo_path': '/kKVYqekveOvLK1IgqdJojLjQvtu.png', 'name': 'Domain Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2025-12-16,153600000,88,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Ship's about to go down.,The SpongeBob Movie: Search for SquarePants,False,6.6,138
False,/swxhEJsAWms6X1fDZ4HdbvYBSf9.jpg,,45000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",https://anacondamovie.com,1234731,tt33244668,['US'],en,Anaconda,"A group of friends facing mid-life crises head to the rainforest with the intention of remaking their favorite movie from their youth, only to find themselves in a fight for their lives against natural disasters, giant snakes and violent criminals.",238.1653,/qxMv3HwAB3XPuwNLMhVRg795Ktp.jpg,"[{'id': 134756, 'logo_path': '/saCxMqh2hFSbDeojykvP2qc6zNX.png', 'name': 'Fully Formed Entertainment', 'origin_country': 'US'}, {'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 22213, 'logo_path': '/qx9K6bFWJupwde0xQDwOvXkOaL8.png', 'name': 'TSG Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2025-12-24,128328016,100,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Sinhalese', 'iso_639_1': 'si', 'name': 'සිංහල'}, {'english_name': 'Tamil', 'iso_639_1': 'ta', 'name': 'தமிழ்'}]",Released,A comedy so big it'll leave you breathless.,Anaconda,False,5.903,217
False,/sK3z0Naed3H1Wuh7a21YRVMxYqt.jpg,"{'id': 1611146, 'name': 'The Housemaid Collection', 'poster_path': '/nzfd4GSmANTyJVVryteFU3Xjuje.jpg', 'backdrop_path': '/lu7VARBXX1B5XjwYh3KhcV7WlGW.jpg'}",35000000,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",https://thehousemaid.movie,1368166,tt27543632,['US'],en,The Housemaid,"Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.",147.963,/cWsBscZzwu5brg9YjNkGewRUvJX.jpg,"[{'id': 1632, 'logo_path': '/cisLn1YAUuptXVBa0xjq7ST9cH0.png', 'name': 'Lionsgate', 'origin_country': 'US'}, {'id': 221429, 'logo_path': '/7xNNmHcuDy0tOqZmsUMnZ6HcZ6E.png', 'name': 'Media Capital Technologies', 'origin_country': 'US'}, {'id': 198785, 'logo_path': '/oBnMrmwnlAKcACe5h7Vwmk8m1CC.png', 'name': 'Hidden Pictures', 'origin_country': 'US'}, {'id': 284257, 'logo_path': None, 'name': 'Pretty Dangerous Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2025-12-18,305000000,131,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Discover what lies behind closed doors.,The Housemaid,False,7.111,551
